0 127.750000
1 128.000000
2 125.500000
3 124.750000
4 123.750000
5 128.500000
6 129.750000
7 130.250000
8 127.500000
9 123.500000
10 123.500000
11 127.008789
12 126.750000
13 125.500000
14 121.757812
15 125.250000
16 130.250000
17 130.000000
18 130.601562
19 123.000000
20 121.925781
21 125.750000
22 127.750000
23 128.000000
24 127.000000
25 125.500000
26 124.250000
27 124.500000
28 128.199219
29 129.750000
30 130.250000
31 126.000000
32 123.500000
33 125.750000
34 126.500000
35 127.750000
36 126.750000
37 127.250000
38 0.750000
40 0.065430
