0 123.144531
1 122.378906
2 121.503906
3 126.234375
4 127.503906
5 127.878906
6 122.628906
7 120.503906
8 120.628906
9 124.128906
10 125.753906
11 122.253906
12 122.503906
13 122.378906
14 121.253906
15 121.628906
16 123.753906
17 123.628906
18 124.253906
19 127.878906
20 120.503906
21 122.878906
22 117.948730
23 125.398438
24 125.503906
25 125.628906
26 124.234375
27 121.378906
28 120.503906
29 124.378906
30 127.878906
31 127.503906
32 128.878906
33 120.253906
34 121.503906
35 123.378906
36 124.503906
37 76.253906
