0 483
1 505
2 479
3 422
4 456
5 344
6 488
7 484
8 470
9 506
10 431
11 424
12 443
13 450
14 447
15 477
16 383
17 302
18 428
19 377
20 483
21 379
22 414
23 483
24 497
25 423
26 496
27 426
28 373
29 409
30 502
31 475
32 423
33 444
34 387
35 499
36 301
37 508
38 413
39 451
40 402
41 376
42 450
43 394
44 441
45 369
46 399
47 373
48 476
49 415
50 442
51 461
52 320
53 491
54 442
55 443
56 477
57 395
58 369
59 412
60 407
61 446
62 503
63 476
64 379
65 476
66 447
67 496
68 488
69 503
70 501
71 501
72 484
73 474
74 496
75 463
76 494
77 497
78 481
79 486
80 396
